Hezhen,0.00,24.20,0.00,8.70,0.00,0.00,0.00,0.00,0.00,67.10,0.00,0.00
Ho,0.00,0.90,0.00,24.60,0.00,0.00,74.50,0.00,0.00,0.00,0.00,0.00
Hungarian,5.69,1.19,0.59,0.21,28.09,44.65,0.65,0.04,3.31,0.24,15.16,0.02
Hungarian_Alfold,5.24,1.39,0.63,0.22,28.05,45.73,0.66,0.04,3.19,0.17,14.68,0
Hungarian_North,5.16,1.31,0.6,0.26,27.34,46.81,0.55,0.01,2.91,0.13,14.93,0
Hungarian_Transdanubia_Budapest,6.02,0.85,0.55,0.19,28.36,44.2,0.67,0.06,3.37,0.23,15.2,0.02
Hungarian_Transylvania_Szekely,6.06,2.42,0.62,0.18,27.89,40.32,0.6,0,4.06,0.73,16.94,0.09
Icelandic,9.57,0.48,0.16,0.06,36.34,47.89,0.29,0,0.15,0.05,5.01,0
Ingush,22.2,3.01,0.25,0.77,5.52,18.18,0.11,0.05,3.86,1.69,44.23,0.13
Arab_Iran,18.52,0.29,2.61,0.21,6.69,3.63,4.18,3.35,23.35,0.45,34.63,1.87
Iranian_Bandari,35.42,0.33,0.37,0.70,2.01,6.42,11.00,1.81,11.25,0.00,25.24,5.46
Iran_Feyli,27.47,1.12,1.26,0.33,4.98,5.36,3.77,0.34,14.6,0.3,40.12,0.14
Iranian_Khorasan,28.01,1.89,0.34,0.29,6.34,9.65,7.63,0.44,10.14,2.84,32.17,0.26
Iranian_Lur,27.78,1.32,0.8,0.37,6.35,4.08,4.03,0.5,14.64,0.61,39.33,0.2
Iranian_Fars,27.45,0.89,1.31,0.74,5.59,6.25,6.10,1.25,14.09,1.23,34.77,0.33
Iranian_Kerman,29.71,0.99,0.30,0.21,6.09,8.31,7.60,0.85,12.19,0.34,32.96,0.49
Iranian_Mazandaran,33.07,0.48,0.25,0.26,2.86,5.68,5.27,0.32,10.96,0.26,40.38,0.19
Turkmen_Iraq,21.88,1.97,1.20,0.49,7.52,5.40,4.10,0.79,16.48,1.12,38.44,0.59
Iraqi_Arab,16.56,0.45,2.95,0.27,8.15,3,3.31,3.67,25.43,0.78,33.56,1.82
Iraqi_Baghdad,18.64,0.77,2.42,0.31,8.82,3.91,3.22,2.3,20.37,0.79,37.64,0.8
Iraqi_Jew,17.41,0.02,2.54,0.15,10.92,0.51,0.75,0.46,22.23,0.24,44.74,0
